date,Open,Close,Symbol
1999-08-30,127.563,119.25,AMZN
1999-08-31,118.375,124.375,AMZN
1999-09-01,127.0,119.063,AMZN
1999-09-02,57.5,60.063,AMZN
1999-09-03,63.625,62.438,AMZN
1999-09-07,63.813,62.938,AMZN
1999-09-08,62.0,61.438,AMZN
1999-09-09,63.5,63.625,AMZN
1999-09-10,65.938,66.5,AMZN
1999-09-13,65.625,63.313,AMZN
1999-09-14,62.75,66.0,AMZN
1999-09-15,67.75,65.563,AMZN
1999-09-16,64.938,65.25,AMZN
1999-09-17,65.625,63.813,AMZN
1999-09-20,63.688,62.75,AMZN
1999-09-21,61.625,62.25,AMZN
1999-09-22,62.875,66.0,AMZN
1999-09-23,67.0,62.25,AMZN
1999-09-24,62.0,65.0,AMZN
1999-09-27,66.188,62.563,AMZN
1999-09-28,62.5,65.875,AMZN
1999-09-29,66.5,80.75,AMZN
1999-09-30,79.813,79.938,AMZN
1999-10-01,77.0,77.25,AMZN
1999-10-04,79.438,77.063,AMZN
1999-10-05,77.125,78.438,AMZN
1999-10-06,79.563,82.438,AMZN
1999-10-07,85.625,87.313,AMZN
1999-10-08,86.875,89.25,AMZN
1999-10-11,89.125,88.375,AMZN
1999-10-12,87.688,84.938,AMZN
1999-10-13,82.5,79.938,AMZN
1999-10-14,80.5,79.594,AMZN
1999-10-15,75.875,75.063,AMZN
1999-10-18,75.063,74.063,AMZN
1999-10-19,77.625,76.625,AMZN
1999-10-20,78.313,80.5,AMZN
1999-10-21,77.938,80.75,AMZN
1999-10-22,81.438,78.625,AMZN
1999-10-25,79.0,82.75,AMZN
1999-10-26,83.125,81.25,AMZN
1999-10-27,79.375,75.938,AMZN
1999-10-28,69.5,71.0,AMZN
1999-10-29,72.75,70.625,AMZN
1999-11-01,68.063,69.125,AMZN
1999-11-02,69.75,66.438,AMZN
1999-11-03,68.188,65.813,AMZN
1999-11-04,67.188,63.063,AMZN
1999-11-05,64.75,64.938,AMZN
1999-11-08,64.813,78.0,AMZN
1999-11-09,82.0,70.813,AMZN
1999-11-10,71.563,72.0,AMZN
1999-11-11,74.75,73.0,AMZN
1999-11-12,73.7435,74.938,AMZN
1999-11-15,75.6215,73.5,AMZN
1999-11-16,74.25,78.938,AMZN
1999-11-17,77.938,76.5,AMZN
1999-11-18,76.75,77.938,AMZN
1999-11-19,77.875,77.938,AMZN
1999-11-22,77.875,80.5,AMZN
1999-11-23,80.375,81.75,AMZN
1999-11-24,84.25,87.25,AMZN
1999-11-26,91.063,93.125,AMZN
1999-11-29,95.5,90.438,AMZN
1999-11-30,88.266,85.063,AMZN
1999-12-01,87.25,85.0,AMZN
1999-12-02,86.0,89.063,AMZN
1999-12-03,92.5,86.563,AMZN
1999-12-06,86.875,87.75,AMZN
1999-12-07,88.0,86.063,AMZN
1999-12-08,86.813,88.563,AMZN
1999-12-09,95.5,103.625,AMZN
1999-12-10,111.938,106.688,AMZN
1999-12-13,106.625,102.5,AMZN
1999-12-14,103.75,95.625,AMZN
1999-12-15,92.875,96.5,AMZN
1999-12-16,98.25,94.875,AMZN
1999-12-17,97.188,94.063,AMZN
1999-12-20,97.75,97.0,AMZN
1999-12-21,96.563,99.875,AMZN
1999-12-22,100.563,97.688,AMZN
1999-12-23,98.0,90.0,AMZN
1999-12-27,87.75,81.125,AMZN
1999-12-28,83.063,82.313,AMZN
1999-12-29,83.438,83.5,AMZN
1999-12-30,84.625,79.063,AMZN
1999-12-31,79.313,76.125,AMZN
2000-01-03,81.5,89.375,AMZN
2000-01-04,85.375,81.938,AMZN
